Latin_orthography,Latin_IPA,freqTFTL,Spanish_IPA,,
auem,awem,284,ábe,,
fābulam,faːbulam,378,ábla,,
aquilam,akwilam,353,ágila,,
aquam,akwam,7544,ágwa,,
fāɡea,faːɡea,NA,ája,,
āerem,aːerem,1877,ájɾe,,
animam,animam,21211,álma,,
altum,altum,2366,álto,,
amarellum,amarellum,NA,amaríʎo,,
faminem,faminem,1403,ámbɾe,,
amīcum,amiːkum,2460,amígo,,
amōrem,amoːrem,5781,amóɾ,,
anum,anum,125,áno,,
amplum,amplum,NA,ánʧo,,
annum,annum,3705,áɲo,,
arborem,arborem,1251,áɾbol,,
arcum,arkum,870,áɾko,,
astrum,astrum,96,ástɾo,,
aliēnum,alieːnum,3068,axéno,,
alium,alium,NA,áxo,,
faciem,fakiem,10369,áθ,,
aciem,akiem,1730,áθ,,
fascem,faskem,67,áθ,,
uaccam,wakkam,NA,báka,,
barbam,barbam,652,báɾba,,
bellum,bellum,7145,béʎo,,
beneficium,benefikium,3192,benefíθjo,,
uenēnum,weneːnum,1511,benéno,,
uerbum,werbum,32341,béɾbo,,
uiridim,wiridim,,béɾde,,
uītem,wiːtem,493,bíd,,
uītam,wiːtam,26925,bída,,
uīnum,wiːnum,7714,bíno,,
uīneam,wiːneam,,bíɲa,,
uirtūtem,wirtuːtem,14904,biɾtúd,,
uirginem,wirɡinem,2805,bíɾxen,,
uīsum,wiːsum,5081,bíso,,
uitium,witium,4924,bíθjo,,
uentum,wentum,1818,bjénto,,
uentum,wentum,,bjénto,,
uentrem,wentrem,1225,bjéntɾe,,
ueneris,weneris,,bjéɾnes,,
uetulum,wetulum,,bjéxo,,
buccam,bukkam,,bóka,,
uoluntātem,woluntaːtem,12912,boluntád,,
uōcem,woːkem,9921,bóθ,,
bracchium,brakkʰium,131,bɾáθo,,
bouem,bowem,,bwéj,,
bonum,bonum,42290,bwéno,,
cōnsilium,koːnsilium,9647,conséxo,,
contemptum,kontemptum,1326,conténto,,
damnum,damnum,1840,dáɲo,,
digitum,diɡitum,550,dédo,,
dēlicātum,deːlikaːtum,,delgádo,,
dīuīnum,diːwiːnum,4260,dibíno,,
dictum,diktum,42541,díʧo,,
dentem,dentem,278,djénte,,
dolōrem,doloːrem,3455,dolóɾ,,
dominam,dominam,745,dóɲa,,
duōs,duoːs,,dós,,
aetātem,ajtaːtem,2018,edád,,
fēminam,feːminam,1171,émbɾa,,
integrum,integrum,,entéɾo,,
errōrem,erroːrem,3281,eróɾ,,
ēricium,eːrikium,,eɾíθo,,
scrīptōrem,skriːptoːrem,127,eskɾitóɾ,,
scūtum,skuːtum,674,eskúdo,,
ipsum,ipsum,,éso,,
spatium,spatium,3282,espáθjo,,
speculum,spekulum,,espéxo,,
speciem,spekiem,11733,espéθje,*,
spōnsā,spoːnsaː,,espósa,,
stabulum,stabulum,258,estáblo,,
statum,statum,4597,estádo,,
istud,istud,,ésto,,
factum,faktum,24165,éʧo,,
iactum,jaktum,125,éʧo,*,
exemplum,eksemplum,9477,exémplo,,
falsum,falsum,6966,fálso,,
fidem,fidem,25320,fé,,
foedus,fojdus,1208,féo,,
fīnem,fiːnem,19512,fín,,
feram,feram,439,fjéɾa,,
flōrem,floːrem,742,flóɾ,,
formam,formam,11522,fóɾma,,
frontem,frontem,741,fɾénte,,
frīgus,friːɡus,1415,fɾío,,
focum,fokum,132,fwégo,,
fontem,fontem,2049,fwénte,,
fortem,fortem,1332,fwéɾte,,
fortia,fortia,,fwéɾθa,,
cattum,kattum,,gáto,,
glōriam,ɡloːriam,15734,glóɾja,,
gaudium,ɡawdium,6747,góθo,,
grauitātem,ɡrawitaːtem,1014,gɾabedád,,
grandem,grandem,,gɾánde,,
grātiam,ɡraːtiam,22967,gɾáθja,,
grossum,grossum,,gɾwéso,,
fīcum,fiːkum,,ígo,,
fīlum,fiːlum,,ílo,,
imāginem,imaːɡinem,6342,imáxen,,
initium,initium,4901,iníθjo,,
incertum,inkertum,1461,inθjéɾto,,
īram,iːram,4417,íɾa,,
īnsulam,iːnsulam,971,ísla,,
fīliam,fiːliam,3292,íxa,,
fīlium,fiːlium,28816,íxo,,
gelū,geluː,,jélo,,
ferrum,ferrum,2306,jéro,,
herbam,herbam,722,jéɾba,,
eremum,eremum,,jéɾmo,,
generum,generum,,jéɾno,,
iugum,juɡum,2805,júgo,,
capillum,kapillum,216,kabéʎo,,
catēnam,kateːnam,132,kadéna,,
calvum,kalwum,,kálbo,,
calōrem,kaloːrem,1511,kalóɾ,,
cantum,kantum,378,kánto,,
cāritātem,kaːritaːtem,6470,kaɾidád,,
carcerem,karkerem,1100,káɾθel,,
casam,kasam,,kása,,
cāsum,kaːsum,1710,káso,,
colōrem,koloːrem,1532,kolóɾ,,
contrārium,kontraːrium,6714,kontɾáɾjo,,
concilium,konkilium,1837,konθéxo,,
cuneum,kuneum,102,kóɲo,,
currum,kurrum,468,kóro,,
corōnam,koroːnam,2316,koɾóna,,
causam,kawsam,16975,kósa,,
coxum,koksum,,kóxo,,
calcem,kalkem,,kóθ,,
crīnem,kriːnem,216,kɾín,,
crucem,krukem,3462,kɾúθ,*,
crūdēlitātem,kruːdeːlitaːtem,505,kɾweldád,,
culpam,kulpam,4152,kúlpa,,
cognātum,kognaːtum,,kuɲádo,,
cūram,kuːram,4703,kúɾa,,
cultellum,kultellum,,kuʧíʎo,,
collum,kollum,960,kwéʎo,,
cornū,kornuː,1910,kwéɾno,,
corpus,korpus,42420,kwéɾpo,*,
latus,latus,2227,ládo,*,
latrōnem,latroːnem,462,ladɾón,,
lacum,lakum,796,lágo,,
lacrimam,lakrimam,142,lágɾima,,
largum,largum,,láɾgo,,
lēgem,leːɡem,16072,léj,,
linguam,linɡwam,2867,léngwa,,
lignum,liɡnum,3813,léɲo,,
litteram,litteram,3924,létɾa,,
lacte,lakte,1587,léʧe,,
lībertātem,liːbertaːtem,4267,libeɾtád,,
librum,librum,3321,líbɾo,,
lītem,liːtem,808,líd,,
lupum,lupum,417,lóbo,,
lūmine,luːmine,10120,lúmbɾe,,
lūnam,luːnam,1649,lúna,,
lūcem,luːkem,6406,lúθ,,
locum,lokum,21706,lwégo,,
flammam,flammam,792,ʎáma,,
plēnum,pleːnum,,ʎéno,,
pluuia,pluwia,,ʎúbja,,
mātrem,maːtrem,5367,mádɾe,,
magistrum,maɡistrum,2000,maéstɾo,,
