Derivation file for run '../SpanishCFR/SpanishRun'; etymon number :1040:
#t̪ˌert̪iˈɑːrium# >>> #t̪eθˈɑrxu# ( GOLD : #t̪eɾθˈeɾo#) :
t̪ ˌe r t̪ i ˈɑː r i u m 
#t̪ˌert̪iˈɑːriu# | 25 : [+nas] > ∅ / [-stres] __ #
#t̪ˌert̪jˈɑːrju# | 39 : [+syl,-prim,-lo,+hi] > [-syl,-long,0stres,0prim,-splng] / __ [+syl]
#t̪ˌɛrt̪jˈɑːrju# | 42 : [+syl,-long,+stres,-hi,-lo] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɛrt̪jˈɑːrjo# | 43 : [+syl,-long] > [-hi] 
#t̪ˌɛrt̪jˈɑrjo# | 44 : [+syl,+long] > [-long,-splng] 
#t̪ˌɛɾt̪jˈɑrjo# | 46 : r > ɾ / __ [+cons]
#t̪ˌɛɾt͡ʃjˈɑrjo# | 63 : {t̪;d̪;t̪ʰ;k;ɡ;kʰ} > {t͡ʃ;d͡ʒ;t͡ʃ;t͡ʃ;d͡ʒ;t͡ʃ} / __ j
#t̪ˌɛɾt͡sjˈɑrjo# | 87 : {t͡ʃ;d͡ʒ} > {t͡s;d͡z} 
#t̪ˌɛɾt͡sjˈɑrju# | 94 : [+syl,+round] > [+hi,-lo] / [+front,+hi,-cons,-syl,-back] __ 
#t̪ˌeɾt͡sjˈɑrju# | 96 : [+syl,-tense] > [+tense,-cons,-lat,+cont,0delrel] / __ ( @ ) ( @ ) [+hi,+front]
#t̪ˌeɾt͡sʝˈɑrʝu# | 106 : [-cons,-syl,+hi] > [+cons,-son,0tense] / __ [+syl]
#t̪ˌeɾt͡sʝˈɑrʒu# | 112 : ʝ > ʒ / [-syl] __ [+round]
#t̪ˌet͡sʝˈɑrʒu# | 118 : [+cons,αcor,βcont,ɣback,θlab,σfront,ɷhi,ŋnas,ʎlat,ðdistr] > ∅ / __ [+cons,αcor,βcont,ɣback,θlab,σfront,ɷhi,ŋnas,ʎlat,ðdistr]
#t̪ˌet͡sçˈɑrʒu# | 121 : [-son] > [-voi] / [-voi] __ 
#t̪ˌet͡sˈɑrʒu# | 147 : [-son] > ∅ / [+delrel] __ 
#t̪ˌesˈɑrʒu# | 161 : [+strid,+ant] > [+cont,0delrel] 
#t̪ˌesˈɑrʃu# | 162 : [+strid] > [-voi] 
#t̪ˌesˈɑrxu# | 164 : ʃ > x 
#t̪ˌeθˈɑrxu# | 165 : s > θ / __ [-cons]
#t̪eθˈɑrxu# | 172 : [-prim] > [-stres,-prim,+syl,+son,0delrel] 
Final form : #t̪eθˈɑrxu#
