Derivation file for run '../SpanishCFR/SpanishRun'; etymon number :114:
#frˌiːksˈeolum# >>> #wr̥ˌiɣθjˌʊlo# ( GOLD : #fɾiswˈelo#) :
f r ˌiː k s ˈe o l u m 
#frˌiːksˈeolu# | 28 : [+nas] > ∅ / __ #
#frˌiːxsˈeolu# | 34 : [+back,+cons,-cont] > [+cont,0delrel] / [+syl] __ [+cons,-back]
#frˌiːxseˌolu# | 38 : [+stres,-lo] [-stres] > [-stres,-prim,+syl,+son,0delrel] [+stres,+syl,+son,0delrel]
#frˌiːxseˌɔlu# | 45 : [+syl,-long,+stres,-hi,-lo] > [-tense,-cons,-lat,+cont,0delrel] 
#frˌiːxseˌɔlo# | 46 : [+syl,-long] > [-hi] 
#frˌixseˌɔlo# | 47 : [+syl,+long] > [-long,-splng] 
#fɾˌixseˌɔlo# | 48 : r > ɾ 
#fɾˌixsejˌɔlo# | 53 : ∅ > j / [+syl,-back] __ [+syl,+back]
#fɾˌixsijˌɔlo# | 57 : e > i / __ j
#fɾˌixsiˌɔlo# | 75 : [-syl,-cons,+hi,+front] > ∅ / [+hi,+front] __ 
#frˌixsiˌɔlo# | 89 : [+cons,-cont,+voi] > [+cont,0delrel] 
#frˌixsjˌɔlo# | 102 : [+front,+syl,-stres,+hi] > [-syl,0stres,0prim] / __ [+syl]
#frˌijsjˌɔlo# | 106 : [+cons,+back] > j / [+syl] __ [-back]
#frˌijsjˌʊlo# | 108 : [+syl,+back] > [+hi] / [+front,+hi,-cons,-syl,-back] __ 
#frˌiʝsjˌʊlo# | 126 : [-cons,-syl,+hi] > [+cons,-son,0tense] / [+syl] __ 
#ɸrˌiʝsjˌʊlo# | 128 : {v;f} > {β;ɸ} 
#ɸrˌiʒsjˌʊlo# | 132 : ʝ > ʒ 
#ɸr̥ˌiʒsjˌʊlo# | 140 : [+cons] > [-voi] / [-voi] __ 
#fr̥ˌiʒsjˌʊlo# | 169 : ɸ > f 
#wr̥ˌiʒsjˌʊlo# | 175 : [+lab,+cons] > w / __ [+cons]
#wr̥ˌiʃsjˌʊlo# | 180 : [+strid] > [-voi] 
#wr̥ˌixsjˌʊlo# | 182 : ʃ > x 
#wr̥ˌixθjˌʊlo# | 183 : s > θ / __ [-cons]
#wr̥ˌiɣθjˌʊlo# | 185 : [+cons,-voi] > [+voi] / [-cons] __ [+cons]
Final form : #wr̥ˌiɣθjˌʊlo#
