Derivation file for run '../SpanishCFR/SpanishRun'; etymon number :1197:
#ˌɑkkˌɑd̪ˈiskit̪# >>> #ɑkɑˈeθe# ( GOLD : #ɑkɑˈeθe#) :
ˌɑ k k ˌɑ d̪ ˈi s k i t̪ 
#ˌɑkkˌɑd̪ˈiski# | 28 : [+cons,-cont] > ∅ / __ #
#ˌɑkkˌɑd̪ˈeske# | 44 : [+syl,-long] > [-hi] 
#ˌɑkkˌɑd̪ˈeskje# | 63 : ∅ > j / [+cons,-cont,+back] __ [+syl,-back]
#ˌɑkkˌɑd̪ˈest͡ʃje# | 64 : {t̪;d̪;t̪ʰ;k;ɡ;kʰ} > {t͡ʃ;d͡ʒ;t͡ʃ;t͡ʃ;d͡ʒ;t͡ʃ} / __ j
#ˌɑkkˌɑˈest͡ʃje# | 84 : [-son,+voi,-strid,-front,βlab,-delrel] > ∅ / [-cons] __ [+syl,βlab]
#ˌɑkkˌɑˈest͡sje# | 88 : {t͡ʃ;d͡ʒ} > {t͡s;d͡z} 
#ˌɑkkˌɑˈest͡sʝe# | 107 : [-cons,-syl,+hi] > [+cons,-son,0tense] / __ [+syl]
#ˌɑkˌɑˈest͡sʝe# | 119 : [+cons,αcor,βcont,ɣback,θlab,σfront,ɷhi,ŋnas,ʎlat,ðdistr] > ∅ / __ [+cons,αcor,βcont,ɣback,θlab,σfront,ɷhi,ŋnas,ʎlat,ðdistr]
#ˌɑkˌɑˈest͡sçe# | 122 : [-son] > [-voi] / [-voi] __ 
#ˌɑkˌɑˈet͡sçe# | 147 : [-son] > ∅ / __ [+delrel]
#ˌɑkˌɑˈet͡se# | 148 : [-son] > ∅ / [+delrel] __ 
#ˌɑkˌɑˈese# | 162 : [+strid,+ant] > [+cont,0delrel] 
#ˌɑkˌɑˈeθe# | 166 : s > θ / __ [-cons]
#ɑkɑˈeθe# | 173 : [-prim] > [-stres,-prim,+syl,+son,0delrel] 
Final form : #ɑkɑˈeθe#
