Derivation file for run '../SpanishCFR/SpanishRun'; etymon number :384:
#kwˌassikˈaːre# >>> #kˌaθe̯ʝˈar# ( GOLD : #kaskˈaɾ#) :
k w ˌa s s i k ˈaː r e 
#kɣʷˌassikˈaːre# | 17 : w > ɣʷ / __ [+syl]
#kβˌassikˈaːre# | 32 : ɣʷ > β 
#kβˌassekˈaːre# | 45 : [+syl,-long] > [-hi] 
#kβˌassekˈare# | 46 : [+syl,+long] > [-long,-splng] 
#kβˌassekjˈare# | 68 : ∅ > j / [+cons,-cont,+back] __ [+syl,-back]
#kβˌasset͡ʃjˈare# | 69 : {t̪;d̪;t̪ʰ;k;ɡ;kʰ} > {t͡ʃ;d͡ʒ;t͡ʃ;t͡ʃ;d͡ʒ;t͡ʃ} / __ j
#kβˌasset͡ʃe̯jˈare# | 84 : ∅ > e̯ / [+syl] [-voi] __ [-syl,+front,-cons]
#kβˌasset͡se̯jˈare# | 94 : {t͡ʃ;d͡ʒ} > {t͡s;d͡z} 
#kvˌasset͡se̯jˈare# | 98 : β > v 
#kvˌasset͡se̯ʝˈare# | 114 : [-cons,-syl,+hi] > [+cons,-son,0tense] / __ [+syl]
#kβˌasset͡se̯ʝˈare# | 116 : {v;f} > {β;ɸ} 
#kβˌaset͡se̯ʝˈare# | 126 : [+cons,αcor,βcont,ɣback,θlab,σfront,ɷhi,ŋnas,ʎlat] > ∅ / __ [+cons,αcor,βcont,ɣback,θlab,σfront,ɷhi,ŋnas,ʎlat]
#kβˌast͡se̯ʝˈare# | 128 : [-lo,+syl,-stres] > ∅ / [+cons] __ [+cons]
#kɸˌast͡se̯ʝˈare# | 129 : [-son] > [-voi] / [-voi] __ 
#kɸˌaʃt͡se̯ʝˈare# | 133 : {s;t̪} > {ʃ;t͡ʃ} 
#kɸˌaʃt͡se̯ʝˈar# | 150 : [+syl,-lo,-hi] > ∅ / [+syl] [+cont,-strid,+cor] __ #
#kɸˌat͡se̯ʝˈar# | 155 : [-son] > ∅ / __ [+delrel]
#khˌat͡se̯ʝˈar# | 160 : ɸ > h / __ [+syl]
#kˌat͡se̯ʝˈar# | 162 : h > ∅ 
#kˌase̯ʝˈar# | 170 : [+strid,+ant] > [+cont,0delrel] 
#kˌaθe̯ʝˈar# | 174 : s > θ / __ [-cons]
Final form : #kˌaθe̯ʝˈar#
