Derivation file for run '../SpanishCFR/SpanishRun'; etymon number :714:
#prˌin̪kˈipium# >>> #pɾeθˈipe̯xu# ( GOLD : #pɾin̪θˈipjo#) :
p r ˌi n̪ k ˈi p i u m 
#prˌiːn̪kˈipium# | 3 : [+syl,-long] > [+syl,+long,+son,0delrel] / __ [+nas] [-son]
#prˌiːŋkˈipium# | 12 : [+nas] > [αcor,βant,ɣdistr,ðlab,ɛback,Zfront,Hhi] / __ [+cons,αcor,βant,ɣdistr,ðlab,ɛback,Zfront,Hhi] @
#prˌiːŋkˈipiu# | 25 : [+nas] > ∅ / [-stres] __ #
#prˌiːŋkˈipju# | 39 : [+syl,-prim,-lo,+hi] > [-syl,-long,0stres,0prim,-splng] / __ [+syl]
#prˌiːŋkˈepjo# | 43 : [+syl,-long] > [-hi] 
#prˌiŋkˈepjo# | 44 : [+syl,+long] > [-long,-splng] 
#pɾˌiŋkˈepjo# | 47 : r > ɾ / [+cons] __ 
#pɾˌiŋkjˈepjo# | 62 : ∅ > j / [+cons,-cont,+back] __ [+syl,-back]
#pɾˌiŋt͡ʃjˈepjo# | 63 : {t̪;d̪;t̪ʰ;k;ɡ;kʰ} > {t͡ʃ;d͡ʒ;t͡ʃ;t͡ʃ;d͡ʒ;t͡ʃ} / __ j
#pɾˌiŋt͡ʃjˈepe̯jo# | 78 : ∅ > e̯ / [+syl] [-voi] __ [-syl,+front,-cons]
#pɾˌiŋt͡sjˈepe̯jo# | 87 : {t͡ʃ;d͡ʒ} > {t͡s;d͡z} 
#pɾˌijt͡sjˈepe̯jo# | 92 : [+cons,+back] > j / [+syl] __ [-back,+cons]
#pɾˌijt͡sjˈepe̯ju# | 94 : [+syl,+round] > [+hi,-lo] / [+front,+hi,-cons,-syl,-back] __ 
#pɾˌijt͡sʝˈepe̯ʝu# | 106 : [-cons,-syl,+hi] > [+cons,-son,0tense] / __ [+syl]
#pɾˌijt͡sʝˈepe̯ʒu# | 112 : ʝ > ʒ / [-syl] __ [+round]
#pɾˌijt͡sçˈepe̯ʒu# | 121 : [-son] > [-voi] / [-voi] __ 
#pɾˌit͡sçˈepe̯ʒu# | 128 : [-syl,-cons,+hi,+front] > ∅ / [+hi,+front] __ 
#pɾˌit͡sçˈipe̯ʒu# | 143 : [+syl,-lo] > [+hi] / __ [+cons] [-cons,-syl]
#pɾˌet͡sçˈipe̯ʒu# | 145 : [+syl,+hi] > [-hi] / __ ( [+cons] ) ( [+cons] ) [+hi,+front,+syl]
#pɾˌet͡sˈipe̯ʒu# | 147 : [-son] > ∅ / [+delrel] __ 
#pɾˌesˈipe̯ʒu# | 161 : [+strid,+ant] > [+cont,0delrel] 
#pɾˌesˈipe̯ʃu# | 162 : [+strid] > [-voi] 
#pɾˌesˈipe̯xu# | 164 : ʃ > x 
#pɾˌeθˈipe̯xu# | 165 : s > θ / __ [-cons]
#pɾeθˈipe̯xu# | 172 : [-prim] > [-stres,-prim,+syl,+son,0delrel] 
Final form : #pɾeθˈipe̯xu#
