etID  | Input | Popular Latin | Old Spanish | Middle Spanish | Output {GOLD}
0      | #fˈoːweɑ# | *#fˈoːweɑ# | *#fˈubjɑ# | *#ˈubjɑ# | *#ˈubjɑ# {GOLD: #oʝɑ#}
1      | #hˌord̪ˈeolum# | *#ˌord̪ˈeolum# | *#ˌoɾʝwˈelo# | *#ˌoɾʃwˈelo# | *#oɾxwˈelo# {GOLD: #oɾθwˈelo#}
2      | #kˈoːɡit̪ɑt̪# | *#kˈoːɡit̪ɑt̪# | *#kˈuʝid̪ɑ# | *#kˈuʝd̪ɑ# | *#kˈuʝd̪ɑ# {GOLD: #kwˈid̪ɑ#}
3      | #kˌorrˈiɡiɑm# | *#kˌorrˈiɡiɑm# | *#kˌorˈiɑ# | *#kˌorˈiɑ# | *#korˈiɑ# {GOLD: #korˈeɑ#}
4      | #kˌoːɡit̪ˈɑːre# | *#kˌoːɡit̪ˈɑːre# | *#kˌoʝid̪ˈɑɾe# | *#kˌoʝd̪ˈɑɾ# | *#koʝd̪ˈɑɾ# {GOLD: #kwid̪ˈɑɾ#}
5      | #lˈuskid̪um# | *#lˈuskid̪um# | *#lˈust͡sjo# | *#lˈus̪jo# | *#lˈuθjo# {GOLD: #lˈuθjo#}
6      | #mˈust̪id̪um# | *#mˈust̪id̪um# | *#mˈus̪t̪jo# | *#mˈust̪jo# | *#mˈust̪jo# {GOLD: #mˈust̪jo#}
7      | #plˈuwiɑm# | *#plˈuwiɑm# | *#plˈubjɑ# | *#lˈubjɑ# | *#lˈubjɑ# {GOLD: #ʝˈubjɑ#}
8      | #pˌod̪iˈɑːre# | *#pˌod̪iˈɑːre# | *#pˌoʝˈɑɾe# | *#pˌoʝˈɑɾ# | *#poʝˈɑɾ# {GOLD: #poʝˈɑɾ#}
9      | #pˌulˈeɡium# | *#pˌulˈeɡium# | *#pˌolˈijo# | *#pˌolˈiʝo# | *#polˈiʝo# {GOLD: #polˈeo#}
10     | #rˈubeum# | *#rˈubeum# | *#ɾˈubjo# | *#ɾˈubjo# | *#rˈubjo# {GOLD: #rˈubjo#}
11     | #rˈusseum# | *#rˈusseum# | *#ɾˈussjo# | *#ɾˈuʃo# | *#rˈuxo# {GOLD: #rˈoxo#}
12     | #rˌoːbˈiːɡin̪e# | *#rˌoːbˈiːɡin̪e# | *#ɾˌobˈijn̪e# | *#ɾˌobˈin̪# | *#robˈin̪# {GOLD: #robˈin̪#}
13     | #sˌupˈerbiɑm# | *#sˌupˈerbiɑm# | *#sˌobˈeɾbjɑ# | *#sˌobˈeɾbjɑ# | *#sobˈeɾbjɑ# {GOLD: #sobˈeɾbjɑ#}
14     | #t̪ˈurbid̪um# | *#t̪ˈurbid̪um# | *#t̪ˈuɾbjo# | *#t̪ˈuɾbjo# | *#t̪ˈuɾbjo# {GOLD: #t̪ˈuɾbjo#}
15     | #wˌerekˈun̪d̪iɑm# | *#wˌerekˈun̪d̪iɑm# | *#bˌeɾiɡˈun̪ʝɑ# | *#bˌeɾɡˈun̪ʃɑ# | *#beɾɡˈun̪xɑ# {GOLD: #beɾɡʷˈen̪θɑ#}
16     | #ɡˈubiɑ# | *#ɡˈubiɑ# | *#ɡˈubjɑ# | *#ɡˈubjɑ# | *#ɡˈubjɑ# {GOLD: #ɡˈubjɑ#}
17     | #ˌɑrrˈuɡium# | *#ˌɑrrˈuɡium# | *#ˌɑrˈujo# | *#ˌɑrˈuʝo# | *#ɑrˈuʝo# {GOLD: #ɑrˈojo#}
