#,	| Input | PIV: pivot@R43 |  Result | Gold
26,   | #bˌurrˈɑɡin̪em#    | *#bˌurrˈɑɡin̪e#    | *#borˈen̪#         | #borˈen̪#
52,   | #d̪ˈiɡit̪um#       | *#d̪ˈiɡit̪u#       | *#d̪ˈeed̪o#        | #d̪ˈed̪o#
82,   | #d̪ˌiɡit̪ˈɑːle#    | *#d̪ˌiɡit̪ˈɑːle#   | *#d̪eed̪ˈɑl#       | #d̪ed̪ˈɑl#
97,   | #frˈiːɡid̪um#      | *#frˈiːɡid̪u#      | *#fɾˈiʝo#          | #fɾˈio#
98,   | #frˈiːɡum#         | *#frˈiːɡu#         | *#fɾˈiɡo#          | #fɾˈio#
150,  | #fˈɑːɡeɑm#         | *#fˈɑːɡeɑ#         | *#ˈɑʝɑ#            | #ˈɑʝɑ#
167,  | #fˌuːlˈiːɡin̪em#   | *#fˌuːlˈiːɡin̪e#   | *#olˈin̪#          | #oʝˈin̪#
168,  | #fˌuːmiɡˈɑːre#     | *#fˌuːmiɡˈɑːre#    | *#uɡʷˈɑɾ#          | #umeˈɑɾ#
205,  | #jˈuɡum#           | *#jˈuɡu#           | *#xˈoɡo#           | #ʝˈuɡo#
269,  | #kˈolliɡis#        | *#kˈolliɡis#       | *#kˈuljes#         | #kˈoxes#
285,  | #kˈoːɡit̪ɑt̪#      | *#kˈoːɡit̪ɑ#       | *#kˈuʝd̪ɑ#         | #kwˈid̪ɑ#
369,  | #kˌorrˈiɡiɑm#      | *#kˌorrˈiɡiɑ#      | *#korˈiɑ#          | #korˈeɑ#
380,  | #kˌoːɡit̪ˈɑːre#    | *#kˌoːɡit̪ˈɑːre#   | *#kuʝd̪ˈɑɾ#        | #kwid̪ˈɑɾ#
470,  | #lˌeɡˈen̪d̪ɑm#     | *#lˌeɡˈen̪d̪ɑ#     | *#leʝˈen̪d̪ɑ#      | #leʝˈen̪d̪ɑ#
471,  | #lˌeɡˈuːmin̪em#    | *#lˌeɡˈuːmin̪e#    | *#leɡˈumbɾe#       | #leɡˈumbɾe#
472,  | #lˈeːɡem#          | *#lˈeːɡe#          | *#lˈej#            | #lˈej#
473,  | #lˌeːɡˈit̪imum#    | *#lˌeːɡˈit̪imu#    | *#leˈimd̪o#        | #lˈin̪d̪o#
477,  | #lˌiɡˈɑːre#        | *#lˌiɡˈɑːre#       | *#leɡˈɑɾ#          | #liˈɑɾ#
479,  | #lˌiːt̪iɡˈɑːre#    | *#lˌiːt̪iɡˈɑːre#   | *#lizɡˈɑɾ#         | #lid̪jˈɑɾ#
546,  | #mˈɑɡikum#         | *#mˈɑɡiku#         | *#mˈeɡo#           | #mˈeɡo#
547,  | #mˈɑɡis#           | *#mˈɑɡis#          | *#mˈex#            | #mˈɑs#
582,  | #mˌɑɡˈist̪rum#     | *#mˌɑɡˈis̪t̪ru#    | *#mɑˈest̪ɾo#       | #mɑˈest̪ɾo#
610,  | #n̪ˌeɡˈɑːre#       | *#n̪ˌeɡˈɑːre#      | *#n̪eɡˈɑɾ#         | #n̪eɡˈɑɾ#
625,  | #plˈɑɡiɑm#         | *#plˈɑɡiɑ#         | *#ʝˈɑʝɑ#           | #plˈɑjɑ#
626,  | #plˈɑːɡɑm#         | *#plˈɑːɡɑ#         | *#ʝˈɑɡɑ#           | #ʝˈɑɡɑ#
630,  | #plˌɑn̪t̪ˈɑːɡin̪em#| *#plˌɑn̪t̪ˈɑːɡin̪e#| *#ʝɑn̪t̪ˈɑʝn̪e#    | #ʝɑn̪t̪ˈen̪#
714,  | #pˌulˈeɡium#       | *#pˌulˈeɡiu#       | *#polˈiʝo#         | #polˈeo#
734,  | #rˈeːɡem#          | *#rˈeːɡe#          | *#rˈej#            | #rˈej#
735,  | #rˈiɡid̪um#        | *#rˈiɡid̪u#        | *#rˈiʝo#           | #rˈeo#
757,  | #rˌeːɡˈiːn̪ɑm#     | *#rˌeːɡˈiːn̪ɑ#     | *#reˈin̪ɑ#         | #rˈejn̪ɑ#
758,  | #rˌeːɡˈɑːlem#      | *#rˌeːɡˈɑːle#      | *#reɡˈɑl#          | #reˈɑl#
764,  | #rˌoːbˈiːɡin̪e#    | *#rˌoːbˈiːɡin̪e#   | *#robˈin̪#         | #robˈin̪#
767,  | #rˌuɡˈiːt̪um#      | *#rˌuɡˈiːt̪u#      | *#rwˈid̪o#         | #rwˈid̪o#
775,  | #sˌiɡˈillum#       | *#sˌiɡˈillu#       | *#seˈeʝo#          | #sˈeʝo#
860,  | #sˌiɡˈillum#       | *#sˌiɡˈillu#       | *#seˈeʝo#          | #sˈeʝo#
878,  | #sˌɑrt̪ˈɑːɡin̪em#  | *#sˌɑrt̪ˈɑːɡin̪e#  | *#sɑɾt̪ˈɑʝn̪e#     | #sɑɾt̪ˈen̪#
879,  | #sˌɑɡˈit̪t̪ɑm#     | *#sˌɑɡˈit̪t̪ɑ#     | *#sɑˈet̪ɑ#         | #sɑˈet̪ɑ#
880,  | #sˌɑɡˈiːn̪ɑ#       | *#sˌɑɡˈiːn̪ɑ#      | *#sɑˈin̪ɑ#         | #sɑˈin̪ɑ#
933,  | #wˈɑːɡin̪ɑ#        | *#bˈɑːɡin̪ɑ#       | *#bˈɑʝn̪ɑ#         | #bˈɑjn̪ɑ#
976,  | #wˌiːɡˈin̪t̪i#     | *#bˌiːɡˈin̪t̪i#    | *#bˈin̪t̪e#        | #bˈejn̪t̪e#
1173, | #ˌɑrrˈuɡium#       | *#ˌɑrrˈuɡiu#       | *#ɑrˈuʝo#          | #ɑrˈojo#
1196, | #ˌɑwɡˈurium#       | *#ˌɑwɡˈuriu#       | *#ɑɡwˈeɾo#         | #ɑɡʷˈeɾo#
1197, | #ˌɑwɡˈust̪um#      | *#ˌɑwɡˈus̪t̪u#     | *#ɑɡˈost̪o#        | #ɑɡˈost̪o#
1205, | #ˌae̯ɡypt̪iˈɑːkum# | *#ˌɛːɡypt̪iˈɑːku#  | *#jøθˈɑɡo#         | #ɑθjˈɑɡo#
1208, | #spˈɑrɑɡum#        | *#spˈɑrɑɡu#        | *#espˈɑɾɑɡo#       | #espˈɑrɑɡo#
